time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.02958006536e-08,2.42415850129e-07,10.0039195511,0.0002293008006,1.26212251823e-05,0.0,-1.0190822458e-06,2.1282766836e-05,0.130644939667,0.0105397502696,0.000627814621951,0.0,446.66517700577486,446.7163597852694,445.91366457068114,446.7736103783973
0.12000000000000001,-1.45563595185e-06,9.27796576433e-06,10.0167167384,0.000746794681968,0.000701056093389,0.0,-9.42998447425e-05,0.000344440767004,0.295898907193,0.00449013941177,0.0272570028234,0.0,456.7321362030646,458.85059537313754,456.78321178928854,456.30048926591036
0.18,-3.32399164778e-05,5.11792925145e-05,10.0425670744,0.00149211904537,0.00255481364345,0.0,-0.00118798463003,0.00112108909589,0.565684023205,0.0248362247847,0.037327567122,0.0,487.2292702853889,487.98170100190526,487.5041899193191,489.0217495424798
0.23999999999999996,-0.00016505440223,0.000154547169637,10.0792572866,0.00300991967939,0.00448162325526,0.0,-0.00341846781679,0.00247597877233,0.657273333552,0.0262019170486,0.0188391365079,0.0,434.8178952658696,433.26688450182627,435.04544409386824,435.1598886904783
0.3,-0.000466996845883,0.000370875605249,10.1215931694,0.00435225033905,0.00597015940714,0.0,-0.0067810295063,0.00488408135711,0.753862340093,0.0133336604925,0.034661105102,0.0,435.7197570928301,437.0404129955311,436.7198856219837,435.6454144106906
0.36000000000000004,-0.00102431957291,0.000770405337978,10.1728429662,0.00482844523202,0.00804085143749,0.0,-0.0120380093106,0.00851111723308,0.954316214256,-0.00596009355115,0.0342107651462,0.0,467.99846990396145,467.963855081448,469.36738061125175,467.8677533588242
0.4200000000000001,-0.00193888058242,0.00138978177731,10.2352880595,0.00417159834231,0.0099327621994,0.0,-0.0186691731884,0.0120797035586,1.12703064567,-0.0234798975812,0.0255499998851,0.0,460.7207251997797,460.0358522365486,460.98256952306326,459.59634879364046
0.48000000000000015,-0.00327750442219,0.00219798781194,10.3066073349,0.00250788912789,0.0117280584098,0.0,-0.0261270238053,0.014699875299,1.25015036122,-0.0379750263171,0.0374778415102,0.0,445.0967537105076,446.0720275037898,445.94217216243015,444.7564616672494
0.5400000000000001,-0.00512578505613,0.00312810395483,10.3870727162,6.28313574294,0.0136576969964,0.0,-0.0357215526529,0.0160301527106,1.43181653912,-0.0540812399687,0.018539809624,0.0,464.4331588501259,462.94589245154845,464.2369922501064,462.9706295293433
0.6000000000000002,-0.00763709449366,0.00407306635855,10.4818739223,6.28019534786,0.0144817354965,0.0,-0.0481131803846,0.0150657418981,1.72782236175,-0.0404164373927,0.00178238154582,0.0,496.7148883456521,495.4844555997778,497.7652927704798,498.7629371275275
0.6600000000000003,-0.010792753507,0.00491359977625,10.5864266321,6.27813569813,0.01449053654,0.0,-0.0570803874592,0.0127488751208,1.75722213859,-0.0243130182094,-0.00334398403326,0.0,417.2040369098042,416.75623346784937,416.1653602834301,417.5717750849964
0.7200000000000003,-0.0145448776477,0.00555798769541,10.6968453049,6.27636504758,0.0139446356086,0.0,-0.0679490891071,0.0085548637334,1.92313545771,-0.0427312490708,-0.0242489244161,0.0,461.20267590043585,459.54880878730467,460.99980830864536,459.54196235545265
0.7800000000000004,-0.0188981965772,0.00592393714817,10.814764128,6.27372960128,0.0120106866582,0.0,-0.0769999827405,0.00338552574943,2.0073478742,-0.046422629426,-0.0572950942865,0.0,437.2082481799648,434.44572513598973,435.35342313390277,435.0433294422564
0.8400000000000004,-0.0237821300005,0.00589562691751,10.9407451418,6.27073242146,0.00844161682575,0.0,-0.0853937665301,-0.00465552427047,2.19168558624,-0.0581587808989,-0.0642662545423,0.0,467.34476571846886,466.79880143099103,466.8144902173966,465.8963584959784
0.9000000000000005,-0.0290672393028,0.0053440161359,11.075383541,6.26739983799,0.00505355376792,0.0,-0.090406993741,-0.0140784903491,2.29605551634,-0.0507687131537,-0.0442237771233,0.0,442.4355330476962,444.0802167675596,442.33455006087564,442.9405723369783
0.9600000000000005,-0.0345946920465,0.00413195901655,11.2179485882,6.26413831181,0.00265137064039,0.0,-0.0935612671621,-0.026666197732,2.45577909869,-0.0627275235682,-0.0327589754595,0.0,460.54187404886244,461.4469708212203,460.38857899504865,459.43952998289
1.0200000000000005,-0.0402588781065,0.00209878016784,11.3695869548,6.26058751416,0.000647264570069,0.0,-0.0950294834839,-0.0414954400396,2.59851225183,-0.0528935784727,-0.0347191043114,0.0,455.5000588711428,455.34286931011616,456.17470498269273,456.95688796012706
1.0800000000000005,-0.0459656485248,-0.000809365390819,11.5258793398,6.25724279026,6.281554403,0.0,-0.0950029667679,-0.0557317114745,2.61119794781,-0.0621624305694,-0.0454232464993,0.0,415.48816568724374,414.54781588095454,415.5544802633222,414.7388186802737
1.1400000000000006,-0.0516175394559,-0.00475913481271,11.6876454702,6.25372431438,6.2785971154,0.0,-0.0930770713093,-0.0763225356404,2.78059808582,-0.0523965058538,-0.0584231947411,0.0,465.1563826540197,464.13580349574477,464.60992307773364,465.37269027067936
1.2000000000000006,-0.0570771810132,-0.0100566249755,11.8607552287,6.25125947412,6.27499443571,0.0,-0.0884946250903,-0.100568230321,2.98919325996,-0.0248004654809,-0.0635009769052,0.0,476.9614645412065,476.571218546571,476.6998587111952,478.8029741509543
