time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,episode,total_reward
1.0200000000000005,-2.03079646571,-0.709369842183,0.0,1.54079850924,3.83083898795,0.0,-1.76063668227,-3.03610604501,-6.38191674227,-16.673904137,2.25664040608,0.0,493.154411166,443.844552508,545.85027411,393.560925018,1,51.0
1.0200000000000005,-2.0337540415,-0.708637253,0.0,1.54672734408,3.82495549393,0.0,-1.77102621104,-3.02395167907,-6.42286998101,-16.6436080519,2.2389164762,0.0,493.958114081,443.172066947,545.043453645,393.970732308,2,51.0
1.0200000000000005,-2.02069201634,-0.715740401809,0.0,1.58431286804,3.84481001204,0.0,-1.71367224411,-3.02631807054,-6.46769558854,-16.650680802,2.11183200375,0.0,497.615091182,442.465662502,544.671080795,393.433816662,3,51.0
1.0200000000000005,-2.02760787771,-0.713204750302,0.0,1.28083001417,3.68103618373,0.0,-1.92738042601,-3.0568483376,-6.59392513143,-16.5477176607,2.04871370777,0.0,495.183350085,422.653272793,550.096821445,402.097470364,4,51.0
1.0200000000000005,-3.32580482554,0.663157202073,0.0,5.87791519653,4.5530583329,0.0,-5.57944033027,-0.012404746202,-9.55661140444,-17.2719347107,-2.35138863241,0.0,488.615443277,246.472628367,735.922378192,442.653410552,5,51.0
1.0200000000000005,-0.2494631097,4.43633985104,0.0,4.63884784931,6.08428381562,0.0,0.149102141695,6.98656978813,-4.37570139968,-16.5529436774,-9.3918646396,0.0,435.731259803,137.297129482,810.77589224,576.508274159,6,51.0
1.1400000000000006,1.68823657027,0.325067588645,0.0,1.14927368043,0.200185146978,0.0,1.81689311092,-0.802503357041,-6.20548473339,-13.2048974795,-10.6058778174,0.0,319.426640949,100.66623473,852.565320944,580.508927109,7,57.0
1.0800000000000005,0.0655784720639,0.669971260975,0.0,0.8111891888,1.26283629319,0.0,-0.229082142219,0.202136297165,-7.65523643662,-7.71479275642,-7.99103631999,0.0,281.645040007,65.199652382,751.514370793,568.72667746,8,54.0
0.9600000000000005,-0.588020967834,0.515587225618,0.0,0.892634027098,2.09096505728,0.0,-0.324581968687,-0.0981890128192,-6.44773670752,-1.56498695129,-7.18977447398,0.0,329.768945402,236.729827364,342.941599817,334.202806418,9,48.0
0.9000000000000005,-0.809402181971,0.305070670399,0.0,0.812250050068,2.96747164315,0.0,-0.546798340205,0.161600287111,-6.35703889807,-0.773781065289,-5.98432394888,0.0,262.80021303,191.397273745,291.606289861,263.7072693,10,45.0
0.8400000000000004,-0.809812460511,0.14882612162,0.0,0.700071604648,3.40730155314,0.0,-0.78043732661,0.16221306523,-6.08397767077,0.446769940481,-6.02947853242,0.0,235.498348558,147.357663054,246.937435675,238.534575665,11,42.0
0.8400000000000004,-0.894597088603,0.0792491884074,0.0,0.602553460087,3.41838907992,0.0,-1.0349733473,0.0913835111908,-6.43344475948,1.01847120697,-6.20961098192,0.0,231.959509955,124.043905466,211.278597692,224.106920597,12,42.0
0.7800000000000004,-0.860482159398,0.0324265255459,0.0,0.359741703988,3.90727474527,0.0,-1.27154172413,0.080827051309,-6.256301078,0.865251459536,-6.50168628539,0.0,202.259996897,104.773237581,160.033509258,181.662053155,13,39.0
0.7200000000000003,-0.719645664504,0.0072800401768,0.0,0.083999224871,4.23787301099,0.0,-1.28134448647,0.0259450212624,-5.96209343325,0.239895698558,-7.02060299329,0.0,183.873535231,88.9158966787,124.419261063,141.529753595,14,36.0
0.7200000000000003,-0.64580739198,0.000173792418777,0.0,0.032748103061,4.16537680681,0.0,-1.15372856441,0.00114046612129,-6.14373704148,0.307860264865,-7.4189529272,0.0,191.444720371,79.8198001787,114.379818184,124.967428531,15,36.0
0.7200000000000003,-0.640890798688,0.0141229259912,0.0,0.221464409926,4.30890060498,0.0,-1.18265272178,0.0691611699701,-6.48018998816,0.191187695953,-7.28669500585,0.0,172.055479228,80.6834755012,99.6826152405,100.712193329,16,36.0
0.6600000000000003,-0.490716271766,-0.000300376307062,0.0,0.354434655914,4.99266100844,0.0,-1.15578619948,0.0280801743419,-6.26728363253,0.421151637739,-7.61357898213,0.0,135.971830017,66.3040158575,68.3363202912,74.0668323181,17,33.0
0.6600000000000003,-0.42082188685,-0.00337102027706,0.0,0.269619550156,5.13698849902,0.0,-1.02850807541,0.00334067643261,-6.39514145144,0.334439027091,-7.47975180519,0.0,122.120270064,71.9785683645,57.0876386832,66.235109506,18,33.0
0.6600000000000003,-0.351007731782,-0.00252957084803,0.0,0.209102930792,5.31052539491,0.0,-0.869946294228,0.00797279115683,-6.4005028786,0.243901029035,-7.54363766451,0.0,108.772493842,71.9455465945,49.5698644102,61.909872946,19,33.0
0.6600000000000003,-0.266324700588,-0.00712987657985,0.0,0.25944050152,5.74413882949,0.0,-0.692092901035,-0.00122682534377,-6.504842549,0.254501593641,-7.65760980988,0.0,282.872282292,172.880453803,180.150095863,160.109250065,20,33.0
0.6600000000000003,-0.16427459169,-0.0149011730812,0.0,0.368174667849,0.312449204188,0.0,-0.54595705702,-0.0426854892328,-6.62028739783,0.519987369984,-6.5985969904,0.0,230.524363098,169.072260367,145.45521526,121.459559283,21,33.0
0.6600000000000003,-0.18961827076,-0.0242018755034,0.0,0.548306809714,0.0755242940347,0.0,-0.571275749924,-0.0643315445827,-6.57087946515,0.782757003224,-6.87385794306,0.0,225.274377124,143.578889037,138.78724825,111.387609422,22,33.0
