time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,episode,total_reward
2.520000000000002,1.30349577434,-2.14875693799,0.0,5.9946326351,6.10300588386,0.0,-0.374550957187,0.380145060485,-21.9662922142,7.56407382868,-13.2565566413,0.0,586.547143631,398.266909846,470.087537824,486.172898878,1,126.0
2.580000000000002,0.772309557681,1.21477618874,0.0,5.23148889856,4.84830886487,0.0,-0.215761504857,7.60080711185,-22.7094927039,7.30914790195,-13.3734289953,0.0,427.5687208,212.79612181,640.762266825,577.912985922,2,129.0
2.2800000000000016,-3.86053509176,5.28887938244,0.0,4.67807155318,0.566497805236,0.0,-1.09697441144,3.70184792714,-20.2871348658,8.4383304141,-16.0259369582,0.0,454.198089855,202.356424573,691.790882685,746.21405301,3,114.0
3.2400000000000024,22.1521703879,0.516786407237,0.0,6.21636431439,3.60476731217,0.0,17.3187342017,0.330277257973,-15.4760998362,-0.860977388061,-19.9379533655,0.0,691.615061094,211.045526568,899.531808897,887.875844157,4,162.0
3.1800000000000024,-68.251664856,-0.0521223560398,0.0,0.732781885503,1.28064006777,0.0,-24.3310850276,-1.14572162245,-20.2007487574,-12.9997910788,-28.5948147687,0.0,891.477618641,-0.405439780633,899.517630885,737.794977391,5,159.0
2.580000000000002,-6.55917711792,-0.393869801145,0.0,0.824877218209,4.21545372776,0.0,-2.79204726097,-0.465801037342,-19.6509220499,-1.30652476046,-25.9179100847,0.0,809.157040762,69.4630630566,874.937219486,821.945957699,6,129.0
2.3400000000000016,-9.86503509185,-0.286359978887,0.0,0.392278462505,4.94580228395,0.0,-5.55671922798,-0.52108175083,-20.3038513238,-0.678784549918,-26.9281212801,0.0,823.122196887,7.1497360888,896.039961489,881.596631587,7,117.0
2.2800000000000016,-9.64748491837,-0.0433039012858,0.0,5.79963046965,0.112811872307,0.0,-5.83868261363,-0.193058578292,-21.1076152151,-1.28034448069,-28.5654897257,0.0,889.121175341,1.44278103245,899.843403106,886.039246436,8,114.0
2.3400000000000016,-9.86159535124,0.0159027368564,0.0,6.1890479675,4.55736491505,0.0,-5.20242792327,-0.0433544270456,-20.2468586579,-0.229889585974,-28.6718396828,0.0,892.54501196,0.694947985522,899.506396591,896.739149479,9,117.0
2.3400000000000016,-9.90027084861,-0.140931936435,0.0,0.351693910156,4.5539511825,0.0,-5.19120951084,-0.167264341709,-20.0705530193,0.380898777785,-28.6719717308,0.0,893.05326368,0.584420232295,898.950694925,898.560884434,10,117.0
2.3400000000000016,-9.83959725122,-0.294755741676,0.0,0.495393474451,4.55906911755,0.0,-5.1446976065,-0.45687463822,-19.9097790208,0.297942228035,-28.7702911124,0.0,897.638656837,0.132807497808,899.124445039,898.247029169,11,117.0
2.2800000000000016,-9.6254871037,-0.0161950067314,0.0,5.89335053125,0.0112737565373,0.0,-5.87221137751,-0.0816773441958,-20.7616501294,-0.594657202802,-28.8188782433,0.0,899.380420023,-0.294588873037,900.382458663,898.487728801,12,114.0
2.3400000000000016,-9.96172644786,-0.124019066382,0.0,0.381718152575,4.58083192231,0.0,-5.25155773747,-0.175638148018,-20.2390795629,0.325779083916,-28.8075594195,0.0,898.989035984,0.0591169283403,900.301197174,899.438270423,13,117.0
2.2800000000000016,-9.62835856748,-0.0166372473778,0.0,5.98188281367,0.0472794138531,0.0,-5.85376273015,-0.0644427125643,-20.8601564403,-0.195721699956,-28.8238220124,0.0,899.607507929,-0.280629888044,899.883984442,899.174151596,14,114.0
2.3400000000000016,-9.87695086687,-0.104771154254,0.0,0.213225882383,4.56304909167,0.0,-5.21026310502,-0.098173023993,-20.2090717227,0.146993054645,-28.8232745252,0.0,899.726393349,-0.212179421111,900.083400356,899.881093929,15,117.0
2.3400000000000016,-9.82708676235,-0.0500711738944,0.0,5.97620472781,4.50886235763,0.0,-5.1124602055,-0.456631524275,-20.3060525113,-0.0915947418606,-28.8702355678,0.0,901.131179672,-0.035713252275,900.325468827,900.107705533,16,117.0
2.2800000000000016,-9.60948304731,-0.0620348963745,0.0,0.208380377667,0.0155227702478,0.0,-5.84941846631,-0.238595332375,-20.7247327219,0.21122508777,-28.8345174053,0.0,900.008965618,-0.323226284088,899.531000835,899.542258436,17,114.0
2.3400000000000016,-9.87091622364,-0.116773135659,0.0,0.243207291127,4.57082250609,0.0,-5.21574818868,-0.119043757177,-20.2148428974,0.233468314844,-28.8220120159,0.0,899.427162431,0.389767297483,900.101693786,900.508589556,18,117.0
2.3400000000000016,-9.91396571311,0.0048644319336,0.0,6.12248890128,4.55430290081,0.0,-5.22356642635,-0.125490319163,-20.3178108945,-0.125628601499,-28.8424299888,0.0,900.302959969,0.192696352918,900.273934933,900.245797103,19,117.0
2.3400000000000016,-9.88415635423,-0.0282776069353,0.0,0.221863973223,4.59545295555,0.0,-5.25246163505,0.0106047894822,-20.3328770021,0.350475353434,-28.8252552375,0.0,899.850723451,0.225874647494,900.339409108,900.330828646,20,117.0
2.3400000000000016,-9.91361724676,-0.0577987041883,0.0,0.25198196678,4.56061360752,0.0,-5.22404887122,-0.0405690801296,-20.3153717765,0.299085913765,-28.8323637138,0.0,899.871837829,-0.82612605647,899.894309993,899.919909407,21,117.0
2.3400000000000016,-9.85925916917,-0.00968734785588,0.0,0.0541478335949,4.57330595427,0.0,-5.22300335933,0.0103172557314,-20.2704650569,0.0948376946359,-28.8209079133,0.0,899.618038579,-0.502323629748,899.867291364,900.25579354,22,117.0
